Strategy,Decks,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,2deck,0.006639681683207694,0.6639681683207694,0.00032192659926673746,0.03219265992667374,-0.04848524592389972,0.9751233103989689
HiLo,6deck,0.0064913249672401115,0.6491324967240112,-0.004349738333796963,-0.4349738333796963,0.6700848217812029,0.9624074550601063
HiLo,8deck,0.006387754570387053,0.6387754570387053,-0.005045509588214742,-0.5045509588214742,0.7898721738003499,0.9563414936614736
Mentor,2deck,0.00013745340535792,0.013745340535792,-0.007733197141849613,-0.7733197141849613,56.26049876111003,0.03968883038106308
Mentor,6deck,4.8646231098136146e-05,0.004864623109813615,-0.0075387970915422745,-0.7538797091542274,154.97186362359568,0.1257200691529019
Mentor,8deck,4.110782188815636e-05,0.004110782188815636,-0.007560906769101063,-0.7560906769101063,183.92866422532225,0.1460752561643458
OmegaII,2deck,0.00022978212182324435,0.022978212182324435,-0.008480678216865645,-0.8480678216865646,36.9074763065738,0.09692553538349735
OmegaII,6deck,8.454909064266542e-05,0.008454909064266542,-0.007615109905240981,-0.7615109905240981,90.06731884823161,0.2490543641412465
OmegaII,8deck,6.532703709817741e-05,0.006532703709817742,-0.007626080207812998,-0.7626080207812999,116.73696751854924,0.26758186360502123
R14,2deck,0.00022520648088664413,0.022520648088664413,-0.008912881098554442,-0.8912881098554442,39.57648582520442,0.0650125952994457
R14,6deck,7.716920363837238e-05,0.007716920363837238,-0.008331860692716905,-0.8331860692716905,107.96872715910584,0.1410372712607224
R14,8deck,4.590311501523898e-05,0.0045903115015238985,-0.008055042897243236,-0.8055042897243236,175.47922171663322,0.0922480423117703
RAPC,2deck,0.0017704770021199556,0.17704770021199556,-0.0020543348334312586,-0.20543348334312586,1.1603284487578285,0.9854060759986614
RAPC,6deck,0.0016774201945512748,0.16774201945512748,-0.005436452276362376,-0.5436452276362376,3.2409603115674166,0.9994473188899722
RAPC,8deck,0.0016676068363134823,0.16676068363134822,-0.005877444933016486,-0.5877444933016486,3.524478795019538,0.9994572778506139
RPC,2deck,0.003327400259624338,0.3327400259624338,-0.0005742164545550201,-0.05742164545550202,0.17257210126558353,0.9641862398662423
RPC,6deck,0.0031821491903236605,0.31821491903236604,-0.004716279167963758,-0.4716279167963758,1.4821049818484655,0.9584011603038725
RPC,8deck,0.0031698280616087927,0.31698280616087926,-0.005270589622434028,-0.5270589622434028,1.662736754169256,0.9532466505495124
WongHalves,2deck,0.0006312359465762539,0.06312359465762539,-0.010106487923453193,-1.0106487923453193,16.010634340882422,0.3162429129257692
WongHalves,6deck,0.00021703648180644225,0.021703648180644224,-0.009546583618442676,-0.9546583618442677,43.98607800395752,0.6092239303151352
WongHalves,8deck,0.00016957506911692617,0.016957506911692618,-0.00930847947517405,-0.9308479475174051,54.8929717301523,0.6997568469906004
ZenCount,2deck,0.0037532605605482055,0.37532605605482056,0.00032482907429902717,0.032482907429902716,-0.08654583636249924,0.9611434841202904
ZenCount,6deck,0.0036410079316696593,0.3641007931669659,-0.004272398061064962,-0.42723980610649626,1.173410808557554,0.9507949155795262
ZenCount,8deck,0.0036228456197036,0.36228456197036,-0.004891578836914778,-0.4891578836914778,1.3502035003398731,0.9490112241387222
