Strategy,Decks,Penetration,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,2deck,80pen,0.004888311290933611,0.48883112909336107,-0.0016808928755825386,-0.16808928755825386,0.3438596225858414,0.9965373877345257
HiLo,8deck,80pen,0.004845154133331585,0.4845154133331585,-0.0052631317423688945,-0.5263131742368895,1.086267143941178,0.9977945171638727
Mentor,2deck,80pen,0.002928194239524721,0.2928194239524721,-0.0011759488458081327,-0.11759488458081327,0.40159523228862115,0.9975778596144179
Mentor,8deck,80pen,0.0026947523209360884,0.26947523209360885,-0.0051556908381890625,-0.5155690838189062,1.9132336571837916,0.9984251797822179
OmegaII,2deck,80pen,0.002654961713040376,0.2654961713040376,-0.001095527364573119,-0.10955273645731191,0.4126339597261298,0.9976395007354522
OmegaII,8deck,80pen,0.002664967984348779,0.2664967984348779,-0.0051553967300996895,-0.515539673009969,1.9345060655051285,0.9981277350040317
R14,2deck,80pen,0.001696339428789409,0.1696339428789409,-0.0010699297209490026,-0.10699297209490026,0.6307285574989888,0.9960877293621017
R14,8deck,80pen,0.001701836607144158,0.17018366071441582,-0.005090153567531907,-0.5090153567531907,2.990976657902349,0.9991683881860258
RAPC,2deck,80pen,0.0015076125994881657,0.15076125994881656,-0.0017689808337349666,-0.17689808337349666,1.173365647339068,0.99746104248273
RAPC,8deck,80pen,0.0015142449947945173,0.15142449947945172,-0.0051953104429923016,-0.5195310442992301,3.4309576461220557,0.9995465295093178
RPC,2deck,80pen,0.0025111002060307897,0.25111002060307896,-0.001554275754937022,-0.1554275754937022,0.6189620594208832,0.9979709267607454
RPC,8deck,80pen,0.002513744669872025,0.2513744669872025,-0.005209750289717407,-0.5209750289717408,2.0725057529341817,0.99879431346278
WongHalves,2deck,80pen,0.004502937285804699,0.4502937285804699,-0.0025105788859607677,-0.25105788859607675,0.5575424942903938,0.9947270389808839
WongHalves,8deck,80pen,0.004610458810919983,0.4610458810919983,-0.006302236220969187,-0.6302236220969186,1.3669433953172272,0.9970080887395136
ZenCount,2deck,80pen,0.002747052830479545,0.2747052830479545,-0.0012396832092004938,-0.12396832092004939,0.4512775274817288,0.9975711393715962
ZenCount,8deck,80pen,0.0027605347481065097,0.27605347481065096,-0.005128252678753433,-0.5128252678753432,1.8577026361544533,0.9985871727120359
